,id,lat,lon,amenity
427,6231349,51.5949281,-0.1038585,school
428,6232475,51.5997313,-0.0774837,school
429,6250433,51.5474122,-0.0717938,parking
430,6281556,51.6080246,-0.3751548,parking
431,6291440,51.3733873,-0.1392711,parking
432,7721550,51.6183333,-0.1852037,parking
433,7724596,51.6087591,-0.1633434,school
434,7730106,51.4612468,-0.3597738,health_centre
435,7816752,51.6819665,-0.4035559,school
436,7848020,51.4530915,-0.3413368,college
437,7848021,51.4538808,-0.3448809,school
438,7848024,51.4590697,-0.3404374,parking
439,7848025,51.455228,-0.3429433,parking
440,7848033,51.4579119,-0.3379111,parking
441,7848043,51.4642198,-0.3553251,school
442,7945976,51.4496657,-0.3405308,parking
443,7954585,51.4186694,0.1008073,hospital
444,7955752,51.5829825,0.2317722,school
445,7975683,51.4111018,0.0764983,parking
446,7978720,51.5073191,0.2654498,parking
447,7986503,51.4737297,0.3208368,parking
448,7986504,51.4738237,0.3199514,parking
449,7986513,51.4747188,0.3149519,parking
450,7989424,51.6494624,-0.4043989,hospital
451,8010152,51.5990546,-0.1974988,school
452,8011955,51.4529734,-0.3606099,school
453,8037024,51.3705707,-0.1514152,parking
454,8038010,51.5910717,0.1835144,school
455,8043218,51.6171723,-0.219684,university
456,8043665,51.6477716,-0.1323685,parking
457,8043684,51.6478809,-0.1305933,parking
458,8043712,51.6518286,-0.0839007,parking
459,8044084,51.6849461,-0.0396971,school
460,8044150,51.6866542,-0.0320238,parking
461,8044159,51.6854729,-0.0320581,bus_station
462,8044187,51.6853664,-0.0337061,parking
463,8045103,51.6555253,-0.2749933,parking
464,8055922,51.5899927,-0.1323925,parking
465,8055923,51.5912192,-0.1308733,parking
466,8055926,51.5910592,-0.1304012,parking
467,8056039,51.5924472,-0.1347367,parking
468,8060186,51.5383595,-0.3105065,school
469,8074910,51.4729572,-0.0906197,parking
470,8076186,51.526827,-0.1611042,university
471,8076194,51.5270032,-0.1617393,college
472,8081115,51.5192342,-0.049605,public_building
473,8081646,51.5197039,-0.0581171,library
474,8081655,51.5217124,-0.0506491,parking
475,8081876,51.5187005,-0.0557201,parking
476,8083129,51.4702825,-0.0890759,school
477,8083210,51.4679994,-0.0908143,parking
478,8084133,51.4481896,-0.4241331,school
479,8084608,51.4639442,-0.4094209,recycling
480,8110221,51.5935642,-0.3364832,parking
481,8110226,51.5945315,-0.3339032,parking
482,8110227,51.5939568,-0.3343561,parking
483,8114684,51.4199603,-0.0554209,parking
484,8116460,51.4819797,-0.3740246,school
485,8129336,51.5251936,-0.1139313,sorting_office
486,8137992,51.6304634,-0.0387144,parking
487,8141222,51.6104111,-0.1427748,parking
488,8147095,51.6517873,-0.1994361,parking
489,8147127,51.5746902,-0.2146347,parking
490,8147386,51.4888704,-0.035048,community_centre
491,8396535,51.5558219,-0.2082833,school
492,8598106,51.4308903,-0.0462362,school
493,8678941,51.592861,-0.3264554,parking
494,8685828,51.4862471,-0.3757888,swimming_pool
495,8685853,51.4875982,-0.3730336,school
496,8877349,51.5047183,-0.0789596,townhall
497,8902998,51.5965424,-0.3592974,school
498,8916819,51.5424898,-0.3805932,school
499,9086971,51.4981486,0.2587748,parking
500,9394731,51.6143897,-0.1374046,school
501,9395432,51.6160669,-0.1351019,school
502,9395730,51.6229271,-0.1201738,school
503,9396051,51.6139367,-0.1251738,school
504,9396950,51.6260555,-0.1265047,school
505,9398664,51.6111985,-0.1046388,school
506,9399967,51.6180294,-0.1021279,school
507,9401173,51.6137635,-0.0916676,school
508,9403153,51.6340729,-0.1288041,school
509,9404147,51.6344794,-0.135269,school
510,9404554,51.6129574,-0.084006,school
511,9405486,51.6298055,-0.095446,school
512,9406088,51.6393946,-0.1275981,school
513,9540347,51.6342751,-0.1006459,school
514,9541025,51.6240967,-0.0831781,school
515,9542284,51.6424944,-0.1146427,school
516,9542750,51.6435263,-0.1396727,school
517,9543129,51.6215799,-0.0770694,school
518,9543625,51.6115324,-0.0672384,school
519,9544126,51.6248821,-0.0683027,school
520,9544808,51.6481986,-0.1079308,school
521,9545363,51.6137901,-0.0614388,school
522,9555652,51.6181269,-0.0618275,school
523,9557815,51.6692945,-0.1737545,school
524,9629736,51.6523656,-0.1499945,fuel
525,9638948,51.6483051,-0.0500251,parking
526,9652972,51.4800932,-0.3827882,school
527,9652974,51.4814117,-0.3855977,school
528,9709927,51.6105425,-0.2757622,parking
529,9792453,51.5959019,-0.1543811,school
530,9796993,51.6246805,-0.1522045,parking
531,9799522,51.5263814,-0.162335,university
532,9820623,51.570952,-0.2981019,school
533,9823123,51.5843004,-0.3052157,school
534,9823262,51.5830656,-0.2976384,school
535,9823304,51.5837803,-0.2951064,school
536,9870741,51.6436197,-0.1455822,school
537,9926453,51.3563648,0.1083375,parking
538,9935785,51.4888071,-0.3493003,parking
539,9935786,51.4883676,-0.3479811,parking
540,9935794,51.4883044,-0.3304244,parking
541,9935798,51.4863566,-0.3309435,parking
542,9936075,51.4735734,-0.3472892,school
543,10044857,51.6289681,-0.0561756,school
544,10044944,51.6311552,-0.0678768,school
545,10045199,51.6382974,-0.05985,school
546,10045363,51.6347922,-0.0553096,school
547,10045454,51.6310471,-0.0493525,school
548,10045599,51.6456372,-0.063927,school
549,10045810,51.6589597,-0.0885569,school
