,id,center,lat,lon,amenity,classification,tags
2959,196385666,"{u'lat': 51.3785864, u'lon': -0.1019783}",51.3785864,-0.1019783,hairdresser,,"{u'addr:housenumber': u'15', u'building': u'retail', u'name': u'Trend Setters Hair Studio', u'shop': u'hairdresser', u'source': u'survey', u'addr:street': u'Station Road'}"
2960,196385667,"{u'lat': 51.3783945, u'lon': -0.1021056}",51.3783945,-0.1021056,beauty,,"{u'addr:housenumber': u'9', u'building': u'retail', u'name': u'USA Nail Fashions', u'shop': u'beauty', u'source': u'survey', u'addr:street': u'Station Road'}"
2961,196385668,"{u'lat': 51.378296, u'lon': -0.1022471}",51.378296,-0.1022471,bookmaker,,"{u'addr:housenumber': u'3', u'building': u'retail', u'name': u'William Hill', u'shop': u'bookmaker', u'source': u'survey', u'addr:street': u'Station Road'}"
2962,196385671,"{u'lat': 51.3782682, u'lon': -0.1026298}",51.3782682,-0.1026298,computer,,"{u'addr:housenumber': u'170', u'building': u'retail', u'name': u'Computer Repairs', u'shop': u'computer', u'source': u'survey', u'addr:street': u'North End'}"
2963,196385674,"{u'lat': 51.3778047, u'lon': -0.1022563}",51.3778047,-0.1022563,beauty,,"{u'addr:housenumber': u'132-134', u'building': u'retail', u'name': u'New Ace Hair And Beauty', u'shop': u'beauty', u'source': u'survey', u'addr:street': u'North End'}"
2964,196385677,"{u'lat': 51.3782253, u'lon': -0.1025861}",51.3782253,-0.1025861,pawnbroker,,"{u'addr:housenumber': u'168', u'building': u'retail', u'name': u'H Purchen', u'shop': u'pawnbroker', u'source': u'survey', u'addr:street': u'North End'}"
2965,196385680,"{u'lat': 51.3780372, u'lon': -0.1029876}",51.3780372,-0.1029876,mobile_phone,,"{u'addr:housenumber': u'181', u'building': u'retail', u'name': u'Zam Call', u'shop': u'mobile_phone', u'addr:street': u'North End'}"
2966,196385682,"{u'lat': 51.3779908, u'lon': -0.1030923}",51.3779908,-0.1030923,beauty,,"{u'addr:housenumber': u'181a', u'building': u'retail', u'name': u'Niha Kutz & Beauty', u'shop': u'beauty', u'addr:street': u'North End'}"
2967,196385684,"{u'lat': 51.3778609, u'lon': -0.1028581}",51.3778609,-0.1028581,money_lender,,"{u'addr:housenumber': u'175', u'building': u'retail', u'name': u'Speedy Cash', u'shop': u'money_lender', u'addr:street': u'North End'}"
2968,196385685,"{u'lat': 51.3783114, u'lon': -0.1026731}",51.3783114,-0.1026731,beauty,,"{u'addr:housenumber': u'172', u'building': u'retail', u'name': u""Sade's"", u'shop': u'beauty', u'source': u'survey', u'addr:street': u'North End'}"
